buku	bab	teks	pasal_awal	pasal_akhir
1	1	RUANG LINGKUP BERLAKUNYA KETENTUAN PERATURAN PERUNDANGUNDANGAN PIDANA	1	11
1	2	TINDAK PIDANA DAN PERTANGGUNGJAWABAN PIDANA	12	50
1	3	PEMIDANAAN, PIDANA, DAN TINDAKAN	51	131
1	4	GUGURNYA KEWENANGAN PENUNTUTAN DAN PELAKSANAAN PIDANA	132	143
1	5	PENGERTIAN ISTILAH	144	186
1	6	ATURAN PENUTUP	187	187
2	1	TINDAK PIDANA TERHADAP KEAMANAN NEGARA	188	216
2	2	TINDAK PIDANA DAN PERTANGGUNGJAWABAN PIDANA	217	220
2	3	PEMIDANAAN, PIDANA, DAN TINDAKAN	221	231
2	4	GUGURNYA KEWENANGAN PENUNTUTAN DAN PELAKSANAAN PIDANA	232	233
2	5	TINDAK PIDANA TERHADAP KETERTIBAN UMUM	234	277
2	6	TINDAK PIDANA TERHADAP PROSES PERADILAN	278	299
2	7	TINDAK PIDANA TERHADAP AGAMA, KEPERCAYAAN, DAN KEHIDUPAN BERAGAMA ATAU KEPERCAYAAN	300	305
2	8	TINDAK PIDANA YANG MEMBAHAYAKAN KEAMANAN UMUM BAGI ORANG, KESEHATAN, DAN BARANG	306	346
2	9	TINDAK PIDANA TERHADAP KEKUASAAN PEMERINTAHAN	347	372
2	10	TINDAK PIDANA KETERANGAN PALSU DI ATAS SUMPAH	373	373
2	11	TINDAK PIDANA PEMALSUAN MATA UANG DAN UANG KERTAS	374	381
2	12	TINDAK PIDANA PEMALSUAN METERAI, CAP NEGARA, DAN TERA NEGARA	382	390
2	13	TINDAK PIDANA PEMALSUAN SURAT	391	400
2	14	TINDAK PIDANA TERHADAP ASAL-USUL DAN PERKAWINAN	401	405
2	15	TINDAK PIDANA KESUSILAAN	406	427
2	16	TINDAK PIDANA PENELANTARAN ORANG	428	432
2	17	TINDAK PIDANA PENGHINAAN	433	442
2	18	TINDAK PIDANA PEMBUKAAN RAHASIA	443	445
2	19	TINDAK PIDANA TERHADAP KEMERDEKAAN ORANG	446	456
2	20	PENYELUNDUPAN MANUSIA	457	457
2	21	TINDAK PIDANA TERHADAP NYAWA DAN JANIN	458	465
2	22	TINDAK PIDANA TERHADAP TUBUH	466	473
2	23	TINDAK PIDANA YANG MENGAKIBATKAN MATI ATAU LUKA KARENA KEALPAAN	474	475
2	24	TINDAK PIDANA PENCURIAN	476	481
2	25	TINDAK PIDANA PEMERASAN DAN PENGANCAMAN	482	485
2	26	TINDAK PIDANA PENGGELAPAN	486	491
2	27	TINDAK PIDANA PERBUATAN CURANG	492	510
2	28	TINDAK PIDANA TERHADAP KEPERCAYAAN DALAM MENJALANKAN USAHA	511	520
2	29	TINDAK PIDANA PERUSAKAN DAN PENGHANCURAN BARANG DAN BANGUNAN GEDUNG	521	526
2	30	TINDAK PIDANA JABATAN	527	541
2	31	TINDAK PIDANA PELAYARAN	542	574
2	32	TINDAK PIDANA PENERBANGAN DAN TINDAK PIDANA TERHADAP SARANA SERTA PRASARANA PENERBANGAN	575	590
2	33	TINDAK PIDANA PENADAHAN, PENERBITAN, DAN PENCETAKAN	591	596
2	34	TINDAK PIDANA BERDASARKAN HUKUM YANG HIDUP DALAM MASYARAKAT	597	597
2	35	TINDAK PIDANA KHUSUS	598	612
2	36	KETENTUAN PERALIHAN	613	620
2	37	KETENTUAN PENUTUP	621	624