bab	bagian	paragraf	pasal_awal	pasal_akhir	teks
1	2	1	4	4	Asas Wilayah atau Teritorial
1	2	2	5	5	Asas Pelindungan dan Asas Nasional Pasif
1	2	3	6	6	Asas Universal
1	2	4	7	8	Asas Nasional Aktif
1	2	5	9	9	Pengecualian
2	1	1	12	12	Umum
2	1	2	13	14	Permufakatan Jahat
2	1	3	15	16	Persiapan
2	1	4	17	19	Percobaan
2	1	5	20	22	Penyertaan
2	1	6	23	23	Pengulangan
2	1	7	24	30	Tindak Pidana Aduan
2	1	8	31	35	Alasan Pembenar
2	2	1	36	39	Umum
2	2	2	40	44	Alasan Pemaaf
2	2	3	45	50	Pertanggungjawaban Korporasi
3	1	1	51	52	Tujuan dan Pedoman Pemidanaan
3	1	2	53	56	Pedoman Pemidanaan
3	1	3	57	57	Pedoman Penerapan Pidana Penjara dengan Perumusan Tunggal dan Perumusan Alternatif
3	1	4	58	59	Pemberatan Pidana
3	1	5	60	63	Ketentuan Lain tentang Pemidanaan
3	2	1	64	102	Pidana
3	2	2	103	111	Tindakan
3	3	1	112	112	Diversi
3	3	2	113	113	Tindakan
3	3	3	114	117	Pidana
3	4	1	118	122	Pidana
3	4	2	123	124	Tindakan